SystemTime	Time	ClientLevel	Bandwidth	FrameRate	CurentFrame
1058505915671	0:5	2	0.0	30	236
1058505920671	0:10	2	0.0	30	236
1058505925687	0:15	2	0.8433655172413793	30	358
1058505930687	0:20	2	0.8433655172413793	30	358
1058505935687	0:25	2	1.0919501261912834	30	432
1058505940687	0:30	2	1.0919501261912834	30	432
1058505945750	0:35	2	1.2045142857142856	30	1128
1058505950781	0:40	2	1.2946481267263155	30	1128
1058505955781	0:45	2	1.2946481267263155	30	1450
1058505960812	0:50	2	1.3306490481163147	30	1450
1058505965750	0:55	2	1.3578148062525563	30	1618
1058505970750	1:0	2	1.3578148062525563	30	1618
1058505975750	1:5	2	1.4132813482580808	30	1618
1058505980781	1:10	2	1.4132813482580808	30	2475
1058505985781	1:15	2	1.4305690560168858	30	2475
1058505990781	1:20	2	1.4305690560168858	30	2475
1058505995781	1:25	2	1.4601604278074867	30	2475
1058506000781	1:30	2	1.4601604278074867	30	2752
1058506005781	1:35	2	1.4601604278074867	30	2752
1058506010781	1:40	2	1.4823336863386927	30	2989
1058506015781	1:45	2	1.4823336863386927	30	2989
1058506020781	1:50	2	1.5005946004383335	30	2989
1058506025781	1:55	2	1.5005946004383335	30	2989
1058506030812	2:0	2	1.5141946542396485	30	2989
1058506035671	2:5	2	1.5141946542396485	30	2989
1058506040671	2:10	2	1.517899820342503	30	2989
1058506045671	2:15	2	1.517899820342503	30	2989
1058506050671	2:20	2	1.5234619474984885	30	2989
1058506055671	2:25	2	1.5234619474984885	30	5554
1058506060671	2:30	2	1.5286135481087297	30	5554
1058506065671	2:35	2	1.5286135481087297	30	5554
1058506070687	2:40	2	1.535107414919379	30	5554
1058506075703	2:45	2	1.535107414919379	30	5554
1058506080703	2:50	2	1.5423015340116726	30	5554
1058506085734	2:55	2	1.5423015340116726	30	5554
1058506090765	3:0	2	1.5423835565003052	30	5554
1058506095796	3:5	2	1.5423835565003052	30	5554
1058506100578	3:10	2	1.5492996524073368	30	5554
1058506105593	3:15	2	1.5624484737153699	30	5554
1058506110593	3:20	2	1.5624484737153699	30	6288
1058506115593	3:25	2	1.5624484737153699	30	6288
1058506120593	3:30	2	1.5636726103602172	30	6288
1058506125593	3:35	2	1.5636726103602172	30	6440
1058506130593	3:40	2	1.5695066810464862	30	6440
1058506135593	3:45	2	1.5745083542806446	30	6440
1058506140593	3:50	2	1.5745083542806446	30	6440
1058506145593	3:55	2	1.580259533339092	30	6440
1058506150609	4:0	2	1.5825315777810605	30	6440
1058506155656	4:5	2	1.5825315777810605	30	6440
1058506160671	4:10	2	1.5865738425264357	30	6440
1058506165750	4:15	2	1.5968485947732363	30	6440
1058506170750	4:20	2	1.5968485947732363	30	6440
1058506175781	4:25	2	1.5992903323568037	30	6440
1058506180812	4:30	2	1.5992903323568037	30	9478
1058506185812	4:35	2	1.5983600870157906	30	9478
1058506190812	4:40	2	1.5983600870157906	30	9478
1058506195812	4:45	2	1.5975997274038385	30	9478
1058506200812	4:50	2	1.597711287949403	30	9478
1058506205812	4:55	2	1.597711287949403	30	9478
1058506210812	5:0	2	1.5980061838283521	30	9478
