SystemTime	Time	ClientLevel	Bandwidth	FrameRate	CurentFrame
1058506497288	0:0	2	0.0	30	236
1058506501590	0:5	2	0.0	30	236
1058506506405	0:10	2	0.0	30	236
1058506509732	0:13	2	0.0	30	missed: 358
1058506521373	0:25	2	0.0	30	236
1058506522398	0:26	2	0.0	30	missed: 432
1058506531525	0:35	2	0.0	30	236
1058506536581	0:40	2	0.0	30	236
1058506539345	0:43	2	0.0	30	missed: 1128
1058506546623	0:50	2	0.0	30	236
1058506547648	0:51	2	0.0	30	missed: 1450
1058506561568	1:5	2	0.0	30	236
1058506564583	1:8	2	0.0	30	missed: 1618
1058506591281	1:34	2	0.0	30	missed: 2475
1058506609958	1:53	2	0.0	30	missed: 2752
1058506626564	2:10	2	0.0	30	236
1058506631348	2:15	2	0.0	30	236
1058506636394	2:20	2	0.0	30	236
1058506638947	2:22	2	0.0	30	missed: 2989
1058506641571	2:25	2	0.0	30	236
1058506646430	2:30	2	0.0	30	236
1058506651499	2:35	2	0.0	30	236
1058506656518	2:40	2	0.0	30	236
1058506661537	2:45	2	0.0	30	236
1058506666563	2:50	2	0.0	30	236
1058506671411	2:55	2	0.0	30	236
1058506676531	3:0	2	0.0	30	236
1058506681439	3:5	2	0.7975125768585802	30	5554
1058506686459	3:10	2	0.7975125768585802	30	5554
1058506691478	3:15	2	0.7975125768585802	30	5554
1058506696497	3:20	2	0.7975125768585802	30	5554
1058506701516	3:25	2	0.7975125768585802	30	5554
1058506706535	3:30	2	0.823725671918443	30	6288
1058506711052	3:34	2	0.823725671918443	30	missed: 6436
1058506716412	3:40	2	0.823725671918443	30	6288
1058506721431	3:45	2	0.823725671918443	30	6288
1058506726450	3:50	2	0.823725671918443	30	6288
1058506731469	3:55	2	0.823725671918443	30	6288
1058506736488	4:0	2	0.823725671918443	30	6288
1058506741507	4:5	2	0.856674121353597	30	6440
1058506746527	4:10	2	0.856674121353597	30	6440
1058506751546	4:15	2	0.856674121353597	30	6440
1058506756565	4:20	2	0.856674121353597	30	6440
1058506761584	4:25	2	0.856674121353597	30	6440
1058506766462	4:30	2	0.8668778280542987	30	9478
1058506771481	4:35	2	0.8668778280542987	30	9478
1058506776500	4:40	2	0.8668778280542987	30	9478
1058506781519	4:45	2	0.8668778280542987	30	9478
1058506786538	4:50	2	0.860221597347547	30	9478
1058506791557	4:55	2	0.860221597347547	30	9478
1058506796576	5:0	2	0.860221597347547	30	9478
