5
165
71
39
21
13
112	0	177	9557
243	177	329	9720
416	329	416	11510
417	416	422	13625
428	422	533	14233
638	533	766	10081
895	766	1001	10140
1108	1001	1195	10325
1283	1195	1365	11048
1448	1365	1508	10950
1568	1508	1599	12604
1631	1599	1760	10125
1890	1760	2136	10943
2383	2136	2553	10949
2723	2553	2834	12900
2945	2834	3004	13242
3063	3004	3080	13920
3098	3080	3116	13638
3135	3116	3165	14604
3196	3165	3312	13914
3429	3312	3606	16159
3784	3606	3841	15525
3898	3841	3946	15292
3994	3946	4081	17688
4168	4081	4270	14951
4372	4270	4475	15271
4578	4475	4817	15781
5056	4817	5120	15502
5185	5120	5294	14160
5404	5294	5405	17163
5407	5405	5774	18591
6142	5774	6185	17480
6229	6185	6258	19701
6288	6258	6363	18432
6438	6363	6439	18555
6440	6439	6485	16928
6530	6485	6662	17015
6794	6662	6828	16317
6862	6828	7085	15179
7308	7085	7355	14901
7402	7355	7498	14453
7594	7498	7672	12286
7750	7672	7864	12749
7978	7864	8075	8406
8173	8075	8308	8173
8443	8308	8504	14342
8566	8504	8654	12899
8743	8654	8842	14291
8942	8842	9089	14707
9236	9089	9361	14099
9486	9361	9758	16202
10030	9758	10108	14934
10186	10108	10250	15205
10315	10250	10320	15077
10326	10320	10362	13246
10399	10362	10525	13555
10652	10525	10926	13517
11201	10926	11210	13825
11219	11210	11257	14694
11295	11257	11396	13975
11497	11396	11542	14662
11587	11542	11683	15362
11779	11683	11917	14056
12055	11917	12131	15532
12208	12131	12242	13511
12277	12242	12411	14747
12545	12411	12703	14385
12861	12703	12959	12843
13057	12959	13124	14434
13192	13124	13298	13136
13405	13298	13512	14082
13620	13512	13864	13335
14108	13864	14305	12221
14503	14305	14503	15943
14504	14503	14504	13572
14505	14504	14692	13734
14880	14692	14881	13396
14882	14881	14889	13627
14897	14889	14990	15954
15083	14990	15507	13972
15932	15507	15984	13027
16036	15984	16068	15905
16100	16068	16134	13237
16168	16134	16216	14515
16264	16216	16358	13621
16453	16358	16565	14688
16677	16565	16751	12296
16826	16751	16954	13337
17082	16954	17219	13513
17356	17219	17387	14779
17419	17387	17459	13358
17500	17459	17620	13492
17740	17620	17857	14744
17974	17857	18066	14851
18158	18066	18286	16008
18415	18286	18526	14906
18638	18526	18893	14883
19149	18893	19154	12413
19160	19154	19229	10482
19299	19229	19332	6915
19366	19332	19470	11848
19574	19470	19692	12314
19811	19692	19977	8592
20143	19977	20239	8502
20335	20239	20428	8651
20522	20428	20623	13926
20725	20623	20809	9477
20894	20809	20946	9438
20998	20946	21062	11029
21126	21062	21392	13432
21658	21392	21700	14846
21743	21700	21783	10061
21824	21783	21951	11939
22078	21951	22253	14395
22429	22253	22535	12023
22641	22535	22674	11865
22707	22674	22759	13011
22812	22759	22905	12311
22999	22905	23031	13021
23063	23031	23203	13664
23343	23203	23488	15976
23634	23488	23684	12533
23734	23684	23881	14410
24028	23881	24191	12236
24355	24191	24415	12503
24475	24415	24518	14711
24561	24518	24858	10960
25156	24858	25160	11441
25165	25160	25358	11821
25552	25358	25658	11458
25765	25658	25838	11555
25912	25838	26077	11667
26242	26077	26362	11704
26483	26362	26504	11597
26525	26504	26527	11680
26529	26527	26530	11518
26532	26530	26675	12349
26818	26675	26819	12342
26820	26819	27152	14115
27485	27152	27762	12926
28039	27762	28039	13719
28040	28039	28041	12812
28042	28041	28044	13846
28046	28044	28111	11735
28176	28111	28265	11279
28354	28265	28488	11889
28623	28488	28708	12299
28793	28708	28869	8771
28945	28869	29068	14624
29192	29068	29332	9436
29473	29332	29633	10363
29794	29633	29835	11005
29877	29835	30102	12151
30327	30102	30390	14846
30453	30390	30542	12156
30632	30542	30676	14802
30720	30676	30743	10724
30767	30743	31144	11091
31521	31144	31537	11073
31554	31537	31554	12310
31555	31554	31673	13073
31791	31673	31799	10534
31808	31799	31917	15008
32026	31917	32031	10452
32037	32031	32039	9632
112	0	177	9557
243	177	330	9720
417	330	422	13625
428	422	661	14233
895	661	1001	10140
1108	1001	1278	10325
1448	1278	1539	10950
1631	1539	1760	10125
1890	1760	2417	10943
2945	2417	3040	13242
3135	3040	3459	14604
3784	3459	3841	15525
3898	3841	3946	15292
3994	3946	4699	17688
5404	4699	5846	17163
6288	5846	6363	18432
6438	6363	6439	18555
6440	6439	6485	16928
6530	6485	6662	17015
6794	6662	7098	16317
7402	7098	7690	14453
7978	7690	8460	8406
8942	8460	9486	14707
10030	9486	10182	14934
10335	10182	10493	13496
10652	10493	10935	13517
11219	10935	11257	14694
11295	11257	11396	13975
11497	11396	12512	14662
13528	12512	13818	12863
14108	13818	14305	12221
14503	14305	14503	15943
14504	14503	14504	13572
14505	14504	14693	13734
14882	14693	15491	13627
16100	15491	16276	13237
16453	16276	16565	14688
16677	16565	16874	12296
17071	16874	17077	13318
17083	17077	17291	13395
17500	17291	17620	13492
17740	17620	18444	14744
19149	18444	19224	12413
19299	19224	19910	6915
20522	19910	20824	13926
21126	20824	21392	13432
21658	21392	21700	14846
21743	21700	21783	10061
21824	21783	22411	11939
22999	22411	23031	13021
23063	23031	23545	13664
24028	23545	24251	12236
24475	24251	24815	14711
25156	24815	25699	11441
26242	25699	26362	11704
26483	26362	26504	11597
26525	26504	26527	11680
26529	26527	26530	11518
26531	26530	27257	11688
27983	27257	28012	12039
28042	28012	28109	13846
28176	28109	28345	11279
28514	28345	28729	11996
28945	28729	29209	14624
29473	29209	29900	10363
30327	29900	30547	14846
30767	30547	31279	11091
