SystemTime	Time	ClientLevel	Bandwidth	FrameRate	CurentFrame
1058493974789	0:0	2	0.0	30	236
1058493979809	0:5	2	0.0	30	236
1058493984831	0:10	2	0.0	30	236
1058493989853	0:15	2	1.4145844900980937	30	358
1058493994885	0:20	2	1.8502585051381888	30	432
1058493999907	0:25	2	2.0586971383924215	30	432
1058494004940	0:30	2	2.2704313985261244	30	1128
1058494009711	0:35	2	2.3345312334848325	15	432
1058494014733	0:40	2	2.3801864147884912	15	432
1058494019825	0:45	2	2.4375271149674624	15	432
1058494024847	0:50	2	2.4927702767404	15	432
1058494029900	0:55	2	2.5147893833355344	15	1128
1058494034942	1:0	2	2.561387278483615	15	1128
1058494039713	1:5	1	2.589705376590623	15	895
1058494044755	1:10	1	2.6210209205020925	15	1108
1058494049777	1:15	1	2.6210209205020925	15	1108
1058494054800	1:20	1	2.646699928307022	15	1108
1058494059757	1:25	0	2.685257913654089	15	1283
1058494064799	1:30	0	2.698765758035773	15	1283
1058494069872	1:35	0	2.696374959680421	15	1448
1058494074904	1:40	0	2.696374959680421	15	1448
1058494079926	1:45	0	2.696374959680421	15	1568
1058494084948	1:50	0	2.7029967974940976	15	1631
1058494089729	1:55	0	2.707902564159268	15	1631
1058494094752	2:0	0	2.704480318489261	15	1890
1058494099774	2:5	0	2.712621783042642	15	1890
1058494104796	2:10	0	2.712621783042642	15	1890
1058494109818	2:15	0	2.710072905260597	15	1890
1058494114840	2:20	0	2.71548217702817	15	1890
1058494119862	2:25	0	2.71863995451807	15	2383
1058494124884	2:30	0	2.71863995451807	15	2383
1058494129907	2:35	0	2.715927987853373	15	2383
1058494134929	2:40	0	2.716984907606228	15	2383
1058494139951	2:45	0	2.7209231883094334	15	2383
1058494144722	2:50	0	2.7150087654809703	15	2383
1058494149744	2:55	0	2.7150087654809703	15	2723
1058494154766	3:0	0	2.731310024266038	15	2723
1058494159788	3:5	0	2.746813256851498	15	2723
1058494164811	3:10	0	2.7625739692390545	15	2945
1058494169833	3:15	0	2.7625739692390545	15	2945
1058494174855	3:20	0	2.763597014374777	15	2945
1058494179877	3:25	0	2.757814853093164	15	3063
1058494184899	3:30	0	2.757814853093164	15	3135
1058494189921	3:35	0	2.7459628731027474	15	3196
1058494194943	3:40	0	2.7560771988410346	15	3196
1058494199715	3:45	0	2.7560771988410346	15	3429
1058494204737	3:50	0	2.7581535479521317	15	3429
1058494209759	3:55	0	2.7587176516817804	15	3429
1058494214781	4:0	0	2.7587176516817804	15	3429
1058494219757	4:5	0	2.7589955467590297	15	3784
1058494224779	4:10	0	2.7726947716270667	15	3784
1058494229802	4:15	0	2.7729570702315947	15	3784
1058494234824	4:20	0	2.7714216230601925	15	3898
1058494239846	4:25	0	2.7714216230601925	15	3994
1058494244868	4:30	0	2.7688240403298736	15	3994
1058494249890	4:35	0	2.780970162154686	15	4168
1058494254912	4:40	0	2.780970162154686	15	4168
1058494259934	4:45	0	2.79154225489118	15	4372
1058494264957	4:50	0	2.7884639239197844	15	4372
1058494269728	4:55	0	2.7884639239197844	15	4372
1058494274750	5:0	0	2.786016571271058	15	4578
